kapampangan,english
"ayntindyan daka, dakal bisang magsalita pero ditak la mu ding bisang makiramdam.","i understand. everyone wants to be heard, but few want to listen."
neng ka sigasig keng pamanyaup keng kapaligiran.,she’s so passionate about helping the environment.
tatalangan ke ing dedikasyun na.,i admire that kind of dedication.
"kakarug ku bayu ing interbyu, oneng masalese neman","i was nervous before the interview, but it went well."
ikit mo? mas preparadu ka kesa keng inisip mu.,see? you were more prepared than you thought.
mababalisa ku tagana kareng mataung lugal.,crowded places really make me anxious.
"nung makanyan, magdatun tamu keng lugar a taimik, nung makasaup ita.","then let’s stay somewhere quiet, if that helps."
pagmaragul ku nung makananu kalawut ing disan mu.,i’m really proud of how far you’ve come.
"dakal a salamat, dakal yang kabaldugan neng ibat ya keka.","thank you, it means a lot coming from you."
mebigla ku keng balita. mengaylangan kung oras ban i prosesu ita,"the news shocked me, i needed time to process it."
"kwanan mu ngan ing oras a kaylangan mu, ing pagprosesu mangaylangan ya namang oras.",take all the time you need. processing takes time too.
lupa yang buysit oneng e ya bisang makisabi.,she looked upset but didn’t want to talk.
"siguru, kaylangan na pang magdili-dili.",maybe she just needed to be alone.
isip ku balang metung dapat atin la pang pangadwang tsansa.,i think everyone deserves another chance.
"tutu, magbayu la deng tau, ampon mangalilangan yang oras ban sumulung.","true. people change, and growth takes times"
inalben ke ing pamag albug naning aldo keng gulut na ning bunduk,i watched the sunset behind the mountains.
kasanting daramdaman. sana ikit ke mu naman.,that sounds beautiful. i wish i saw it too.
mabagal kung linakad pasibayu keng kwartung letratuan. balang pinta balamu metung yang istorya,i walked slowly through the gallery. every painting felt like a story.
buri ke istung magsalita ya ing sining nang anti ita.,i love when art speaks like that.
"lupa yang abandunadu ing baleng ayta, atin neng tanaman keng pader, alikabuk gyang nokarin","that house looked abandoned, plants on the walls, dust everywhere."
balamu mekalingwan yang pilang banwa,like it’s been forgotten for years.
"kala-kalake ka keng basung ayan,i bat yapa kang apu ku iyan.","be careful with that glass, it’s from my grandmother."
e ka mikakunu. tatalnan keng masalese.,"don’t worry, i’ll handle it gently."
ikit ko deng lumang letratrung akalingwan kuna.,i found old photos in a box i forgot i had.
makananu kalalam naka tiran ning memorya.,how deep did the memory hit you?
"inyang dinatang ne ing uran, tinikdo kumu keta.","when the rain came, i just stood there."
"ing bawu na ning uran, parati nakung babalik keng kakung kayanakan.",that smell always takes me back to my childhood.
"asna kasikan ing boses na, kabang babasan ne ing sulat.",he read the letter out loud.
mabayat siguru ing panamdaman na nita.,they must have been tense.
"masalusu kung milayi, ditak namu e dana agyu deng bitis ku.","i ran so hard, my legs almost gave up"
"kayi ali ka tinuknang, sikan ning lub ita.",and you didn’t stop. that’s grit.
"anyang magkanta ya, ya mu ing ikit naning mata ku.","when she sang, my eyes only looked at her."
apin yan tutung panamdaman ning tutung prisensya.,that’s what real presence feels like.
"atyu ku king gilid na ning entabladu, mag nerbyus oneng makasadya ku","i stood at the edge of the stage, nervous but ready"
oneng tinakbang kapa mu rin payarap.,and you stepped forward anyway.
"kakagising ku pa, mengan na ka?","i just woke up, did you already eat?"
"isipan kung lakton ngeni, bisa ka?",i’m thinking of skipping today. you in?
"ala ku man gewa pepatingapun, ika tin ka?",i haven’t done anything all day. what about you?
atin kung ikit a megpaganaka kanaku keka.,i saw something that reminded me of you.
bisa kung lumwal. ika bisa ka naman lumwal?,i want to go out. you feel like going somewhere?
akalingwan ke ing buri kung sabyan ku keka.,i forgot what i was going to say to you.
"nakung katamad ngeni, ika man?",i’ve been so lazy lately. how about you?
"yaku man, sasambut ya ing pagkeran ku.",same here. my bed is winning
meglutu ku ngeni… ali ya masalese ing keyaryan.,i tried cooking today... it didn't turn out good.
nang milyari? dilukan me?,what happened? did it bun?
paninintunan ku ing maki talamitam keka.,i miss just talking with you.
"yaku man, gawan taya yan keng misan.",me too. we should do that soon.
buri ku ing anti ining aldo.,i like days like this
matahimik ampon simpli.,quiet and simple.
"ali ku mipapatudtud kerakalan, ika man?",i can’t sleep lately. you too?
"yaku man, asne sigla ing utak ku.",same. my brain’s just too loud.
"manalbe kung pelikula ngeni, nanung alben mu ngeni?",i'm watching a movie right now. what are you watching now?
alben keng pasibayu itang pelikulang sinabi mu kanaku!,i'm rewatching that show you told me about!
"ali ku bisang gumastus, oneng menakit kung buri ku.","i’m trying not to spend, but i saw something i want."
"salwan me!, libri me ing sarili mu.",buy it! treat yourself.
komusta na ka ngeni?,how are you today?
mayap naku man.,i’m doing fine.
katsura mu.,you’re so ugly.
maranup ku.,i’m hungry.
nokarin ka?,where are you?
atyu ku keng dalan.,i’m on the way.
nanung pisabyan tamu?,what should we talk about?
panupaya,i’m sorry.
mangan tana.,let’s eat.
matsura ing panaun.,the weather is bad.
mayap a aldo!,have a good day!
dakal a salamat!,thank you very much!
lupa kang malagu ngeni.,you look so beautiful today.
manaya ka saguli.,wait a second.
alang nanu man!,you’re welcome!
biru mu.,just kidding.
awsan da ka pota.,i’ll call you back later.
masaya ku ngeni.,i feel happy today.
maralas mukung apapakayli.,you always make me smile.
kagigising ku pa.,i just woke up.
dakal ku gawan ngening aldo.,i got a lot to do today.
nukarin ka ibat?,where were you from?
mako naka ken.,get out of there!
nanu nang oras?,what time is it?
lukluk naka keta.,go sit over there.
tikdo kang masalese.,stand up straight.
nanung gagawan mu?,what are you doing
"munta tamu keta,",let’s go over there.
ita mu.,that’s it.
kaluguran daka.,i love you.
balamu alang migaganaka keka,like no one is worrying about you
mayap a abak!,good morning!
mayap a gatpanapun!,good afternoon!
mayap a bengi!,good evening!
tipa ku.,i’m going down.
manik ku.,i’m going up.
mag dane kung kayli,i’m going left.
mag dane kung wanan.,i’m going right.
mako tana.,let’s go.
lagwa mu.,can you go faster?
